
=================================

      4-30-2021   11:49:23
       10507064 Darean Wilde 
    ________________________ 
   Pair of Dice  $9.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99
    Apple cider  $1.99

          Total:  $131.38
    Total + tax:  $141.96
  Customer paid:  $150.00

           $8.04 change.

Thank you, and have a great day!

=================================


